date_time,open,high,low,close,volume,spread,real_volume
1999-01-05,2.1983,2.2318,2.1873,2.2318,556,240,0
1999-01-06,2.1948,2.2052,2.1502,2.1615,768,240,0
1999-01-07,2.1576,2.1807,2.1517,2.1575,580,240,0
1999-01-08,2.1607,2.1641,2.1297,2.1321,403,240,0
1999-01-11,2.1413,2.1517,2.0912,2.1022,820,240,0
1999-01-12,2.1024,2.1481,2.0956,2.1245,830,240,0
1999-01-13,2.1244,2.1847,2.1222,2.1657,838,240,0
1999-01-14,2.168,2.1764,2.1246,2.1697,1020,240,0
1999-01-15,2.1684,2.1861,2.1327,2.1344,729,240,0
1999-01-18,2.1543,2.1758,2.1444,2.162,552,240,0
1999-01-19,2.1595,2.1777,2.1383,2.1636,748,240,0
1999-01-20,2.1585,2.1744,2.1338,2.1383,611,240,0
1999-01-21,2.1403,2.1587,2.1294,2.1365,549,240,0
1999-01-22,2.1387,2.1631,2.1354,2.1528,414,240,0
1999-01-25,2.159,2.176,2.1428,2.1611,644,240,0
1999-01-26,2.1633,2.1721,2.1479,2.1548,400,240,0
1999-01-27,2.1483,2.1594,2.1293,2.1381,501,240,0
1999-01-28,2.1263,2.1457,2.1222,2.1302,432,240,0
1999-01-29,2.1272,2.1369,2.1013,2.1109,550,240,0
1999-02-01,2.105,2.1223,2.0667,2.084,903,240,0
1999-02-02,2.0874,2.124,2.0656,2.0841,1136,240,0
1999-02-03,2.0822,2.1187,2.0497,2.0497,1056,240,0
1999-02-04,2.0508,2.1315,2.0366,2.0527,1880,240,0
1999-02-05,2.0504,2.0932,2.0403,2.053,1033,240,0
1999-02-08,2.0309,2.0361,2.0026,2.0334,646,240,0
1999-02-09,2.0345,2.1056,2.0286,2.0454,1432,240,0
1999-02-10,2.0471,2.1048,2.038,2.1035,773,240,0
1999-02-11,2.0514,2.0866,2.0335,2.0368,917,240,0
1999-02-12,2.0348,2.1009,2.033,2.1009,698,240,0
1999-02-15,2.0602,2.0882,2.0336,2.0574,1065,240,0
1999-02-16,2.0587,2.088,2.0574,2.0856,344,240,0
1999-02-17,2.0823,2.098,2.0781,2.0865,357,240,0
1999-02-18,2.0845,2.0908,2.0709,2.0737,291,240,0
1999-02-19,2.0739,2.1098,2.0353,2.0368,1120,240,0
1999-02-22,2.0361,2.0499,2.0307,2.0383,363,240,0
1999-02-23,2.038,2.0547,2.0275,2.0414,511,240,0
1999-02-24,2.0419,2.0815,2.0377,2.0657,639,240,0
1999-02-25,2.0675,2.1091,2.0446,2.0938,1028,240,0
1999-02-26,2.0942,2.1128,2.0477,2.0997,1248,240,0
1999-03-01,2.104,2.1142,2.0234,2.0234,1011,240,0
1999-03-02,2.0685,2.0807,2.0545,2.0727,483,240,0
1999-03-03,2.0668,2.0934,2.0229,2.0619,1362,240,0
1999-03-04,2.0597,2.0684,2.0088,2.0351,947,240,0
1999-03-05,2.0374,2.0781,2.0116,2.0392,1313,240,0
1999-03-08,2.0405,2.0619,2.0224,2.0443,753,240,0
1999-03-09,2.0459,2.0555,2.0203,2.0432,678,240,0
1999-03-10,2.042,2.0607,2.0189,2.0389,806,240,0
1999-03-11,2.0393,2.0693,2.023,2.0622,698,240,0
1999-03-12,2.0614,2.0705,2.0254,2.049,779,240,0
1999-03-15,2.0417,2.0625,2.0367,2.0593,341,240,0
1999-03-16,2.0603,2.0855,2.0397,2.0855,665,240,0
1999-03-17,2.0898,2.1004,2.0707,2.0871,568,240,0
1999-03-18,2.0837,2.0882,2.0502,2.067,594,240,0
1999-03-19,2.0653,2.0933,2.0447,2.0463,783,240,0
1999-03-22,2.0475,2.0534,2.0275,2.0343,387,240,0
1999-03-23,2.031,2.0459,2.0182,2.0253,498,240,0
1999-03-24,2.0215,2.0369,2.0072,2.0235,575,240,0
1999-03-25,2.0125,2.0329,2.0112,2.0136,424,240,0
1999-03-26,2.016,2.0217,1.993,2.0082,497,240,0
1999-03-29,2.0093,2.022,1.9986,2.015,412,240,0
1999-03-30,2.0107,2.0307,2.0089,2.0157,387,240,0
1999-03-31,2.019,2.033,2.0068,2.012,455,240,0
1999-04-01,2.0145,2.0243,2.0037,2.0224,334,240,0
1999-04-02,2.0141,2.0267,2.0042,2.0204,388,240,0
1999-04-05,2.0187,2.0221,2.0018,2.0164,384,240,0
1999-04-06,2.016,2.0487,2.0119,2.0372,525,240,0
1999-04-07,2.0374,2.0707,2.0148,2.031,1055,240,0
1999-04-08,2.0274,2.0506,2.0171,2.0207,604,240,0
1999-04-09,2.015,2.0382,2.0102,2.0186,525,240,0
1999-04-12,2.0189,2.032,1.9886,1.993,610,240,0
1999-04-13,2.0003,2.0061,1.9839,1.9951,393,240,0
1999-04-14,1.9941,2.0029,1.9727,1.9987,559,240,0
1999-04-15,2.0019,2.0097,1.9594,1.9619,607,240,0
1999-04-16,1.9623,1.9726,1.9535,1.9655,351,240,0
1999-04-19,1.9627,1.9672,1.9277,1.9411,575,240,0
1999-04-20,1.9419,1.9916,1.9304,1.9476,1168,240,0
1999-04-21,1.9505,1.9516,1.9268,1.9404,396,240,0
1999-04-22,1.9444,1.9546,1.9296,1.9377,434,240,0
1999-04-23,1.94,1.9479,1.9289,1.9362,343,240,0
1999-04-26,1.933,1.9412,1.9208,1.9302,381,240,0
1999-04-27,1.93,1.9477,1.9225,1.9434,371,240,0
1999-04-28,1.9419,1.9602,1.9112,1.9212,774,240,0
1999-04-29,1.923,1.9299,1.8989,1.9062,453,240,0
1999-04-30,1.9054,1.9093,1.8832,1.8938,407,240,0
